Date,ID,Stock
2015-08-26,仍静候着,600596
2015-08-27,江西股友,600596
2015-08-28,江西南昌股友,600596
2015-08-27,委内瑞拉股友,600596
2015-08-27,飞得更快9988,600596
2015-08-27,飞得更快9988,600596
2015-08-28,江西南昌股友,600596
2015-08-27,走遍全国ypr6hk,600596
2015-08-28,江西南昌股友,600596
2015-08-28,江西南昌股友,600596
2015-08-27,悬崖劲松,600596
2015-08-26,黑牛俱乐部,600596
2015-08-27,辽宁沈阳股友,600596
2015-08-28,江西南昌股友,600596
2015-08-27,悬崖劲松,600596
2015-08-27,坦然258,600596
2015-08-28,江西南昌股友,600596
2015-08-26,荣哥198828,600596
2015-08-27,黑牛俱乐部,600596
2015-08-27,广东广州股友,600596
2015-08-27,江苏无锡股友,600596
2015-08-28,江西南昌股友,600596
2015-08-27,lbb9901,600596
2015-08-27,湖北武汉股友,600596
2015-08-28,江西南昌股友,600596
2015-08-28,江西南昌股友,600596
2015-08-28,江西南昌股友,600596
2015-08-27,eminem3723230,600596
2015-08-28,xudanci94,600596
2015-08-28,中国股友,600596
2015-08-29,wgenius,600596
2015-08-26,江西股友,600596
2015-08-26,广东茂名股友,600596
2015-08-27,江西股友,600596
2015-08-27,一针探底,600596
2015-08-27,HEART989898,600596
2015-08-27,浙江杭州股友,600596
2015-08-28,江西南昌股友,600596
2015-08-28,奚务萄,600596
2015-08-27,江西股友,600596
2015-08-28,江西南昌股友,600596
2015-08-27,一针探底,600596
2015-08-29,泥巴小姐,600596
2015-08-28,荣哥198828,600596
2015-08-28,荣哥198828,600596
2015-08-28,江西南昌股友,600596
2015-08-29,wgenius,600596
2015-08-29,荣哥198828,600596
2015-08-26,n13970537749263a,600596
2015-08-27,广东广州股友,600596
2015-08-28,江西南昌股友,600596
2015-08-26,山东临沂股友,600596
2015-08-26,n13970537749263a,600596
2015-08-29,wgenius,600596
2015-08-29,嘉星人在广州,600596
2015-08-28,民间股神AAA,600596
2015-08-29,山东济南股友,600596
2015-08-10,通达信红牛,600596
2015-08-30,牛比人生,600596
2015-08-30,的叫法决定,600596
2015-08-22,新和大帝,600596
2015-09-08,给我来个涨停把,600596
2015-01-27,新安股份资讯,600596
2015-08-22,oyyy9999,600596
2015-08-23,新和大帝,600596
2015-08-23,新和大帝,600596
2015-08-24,广东广州股友,600596
2015-08-30,一针探底,600596
2015-08-30,mendekuifan,600596
2015-08-10,河北保定股友,600596
2015-01-27,河南洛阳股友,600596
2015-01-27,江苏苏州股友,600596
2015-01-27,xmlc,600596
2015-01-27,Wish_all,600596
2015-01-27,微之风,600596
2015-01-28,浙江杭州股友,600596
2015-08-29,一针探底,600596
2015-09-08,给我来个涨停把,600596
2015-08-30,牛比人生,600596
2015-08-30,细川遣移,600596
2015-08-30,诗北野现慈,600596
2015-08-29,一针探底,600596
2015-08-29,一针探底,600596
2015-08-30,牛比人生,600596
2015-09-08,安徽安庆股友,600596
2015-09-08,河北保定股友,600596
2015-09-08,停板j,600596
2015-09-08,股海帆舟1,600596
2015-09-08,股海帆舟1,600596
2015-09-08,河北保定股友,600596
2015-09-08,停板j,600596
2015-09-08,仍静候着,600596
2015-09-02,天山来客112233,600596
2015-09-08,老人与股海,600596
2015-09-08,宏丰守候,600596
2015-09-09,新安股份资讯,600596
2015-09-08,广东中山股友,600596
2015-09-08,关注常发,600596
2015-09-08,变2014,600596
2015-09-02,天山来客112233,600596
2015-09-08,学会忍耐5739,600596
2015-09-18,杞人无忧528,600596
2015-09-04,江西赣州股友,600596
2015-09-18,湖南郴州股友,600596
2015-09-18,北京股友,600596
2015-09-04,zcmamama,600596
2015-09-05,winneryeren,600596
2015-09-18,新安股份资讯,600596
2015-09-18,山东济南股友,600596
2015-09-18,旺财2014,600596
2015-09-18,旺财2014,600596
2015-09-18,别在山顶站岗,600596
2015-09-18,福建泉州股友,600596
2015-09-17,福建厦门股友,600596
2015-09-18,湖南衡阳股友,600596
2015-09-17,就逮妖股,600596
2015-09-18,时重堆,600596
2015-09-17,牛阿呆,600596
2015-09-17,东财网友89025...,600596
2015-09-17,浙江杭州股友,600596
2015-09-18,嘉星人在广州,600596
2015-09-17,AL巴巴,600596
2015-09-18,湖北武汉股友,600596
2015-09-18,时重堆,600596
2015-09-17,AL巴巴,600596
2015-09-17,自制者强,600596
2015-09-17,天津股友,600596
2015-09-17,AL巴巴,600596
2015-09-18,江西赣州股友,600596
2015-09-19,江西赣州股友,600596
2015-09-18,开心41207,600596
2015-09-18,坦然258,600596
2015-09-18,广东珠海股友,600596
2015-09-18,广东珠海股友,600596
2015-09-18,时重堆,600596
2015-09-15,AL巴巴,600596
2015-09-15,河北石家庄股友,600596
2015-09-16,AL巴巴,600596
2015-09-15,AL巴巴,600596
2015-09-15,钉子户来啦,600596
2015-09-18,时重堆,600596
2015-09-18,时重堆,600596
2015-09-18,河南开封股友,600596
2015-09-15,股友3HceCI,600596
2015-09-16,AL巴巴,600596
2015-09-19,江西赣州股友,600596
2015-09-16,AL巴巴,600596
2015-09-16,陕西西安股友,600596
2015-09-16,AL巴巴,600596
2015-09-16,仍静候着,600596
2015-09-16,AL巴巴,600596
2015-09-16,北京股友,600596
2015-09-16,HUAc22rf6,600596
2015-09-16,广东深圳股友,600596
2015-09-15,AL巴巴,600596
2015-09-15,AL巴巴,600596
2015-09-15,AL巴巴,600596
2015-09-15,AL巴巴,600596
2015-09-16,AL巴巴,600596
2015-09-16,AL巴巴,600596
2015-09-19,江西赣州股友,600596
2015-09-15,钉子户来啦,600596
2015-09-15,AL巴巴,600596
2015-09-15,开学至上,600596
2015-09-15,钉子户来啦,600596
2015-09-15,钉子户来啦,600596
2015-09-18,上海股友,600596
2015-09-18,圣诞大胡子,600596
2015-09-18,河南开封股友,600596
2015-09-18,浙江杭州股友,600596
2015-09-16,广东深圳股友,600596
2015-09-16,蓝色的大门,600596
2015-09-19,江西赣州股友,600596
2015-09-09,n595713790465600,600596
2015-09-15,开学至上,600596
2015-09-16,钉子户来啦,600596
2015-09-16,扬扬z8tyfp,600596
2015-09-16,广东佛山股友,600596
2015-09-16,广东佛山股友,600596
2015-09-17,钉子户来啦,600596
2015-09-17,潇洒剑客666888,600596
2015-09-19,新安股份资讯,600596
2015-09-19,中国半岛,600596
2015-09-09,eminem3723230,600596
2015-09-09,黑龙江哈尔滨股友,600596
2015-09-09,遵守规才可以,600596
2015-08-19,zcmamama,600596
2015-09-09,遵守规才可以,600596
2015-08-19,z畅,600596
2015-08-19,三乡,600596
2015-08-19,飘零860,600596
2015-08-31,江西赣州股友,600596
2015-09-02,江西赣州股友,600596
2015-09-02,江西赣州股友,600596
2015-09-12,江西赣州股友,600596
2015-09-19,江西赣州股友,600596
2015-09-09,大猛d56xu1,600596
2015-09-09,停板j,600596
2015-09-09,停板j,600596
2015-09-09,停板j,600596
2015-09-09,辽宁沈阳股友,600596
2015-09-09,安徽淮南股友,600596
2015-09-09,赶牛老汉,600596
2015-09-09,山西太原股友,600596
2008-08-11,四川绵阳股友,600596
2008-08-11,四川成都股友,600596
2008-08-11,四川成都股友,600596
2008-08-13,四川绵阳股友,600596
2008-08-13,福建厦门股友,600596
2008-08-13,四川成都股友,600596
2008-08-13,四川成都股友,600596
